id,school_id,name,drill,time_slot,duration,coach_notes,diagram_image,diagram_data,is_deleted,created_at
1367241a-e8c9-4bc8-b099-cf20a6e263e4,7ebbe980-b87e-421f-a11f-788ca2519504,Standard Varsity 90-Min High Intensity,Dynamic Warmup & Rondo (5v2),4:00 PM - 4:15 PM,15 min,Focus on 1-touch speed & communication,,{},false,2026-08-06 23:31:47.213769 +00:00
dc4fa51c-ebd2-48b0-9aaa-baa044ee7e84,7ebbe980-b87e-421f-a11f-788ca2519504,Standard Varsity 90-Min High Intensity,1v1 Gauntlet (Continuous),4:15 PM - 4:35 PM,20 min,Log 1v1 win/loss scores into Matrix,,{},false,2026-08-06 23:32:32.316272 +00:00
b4c076ac-ca3b-42e3-ae31-b4825256e7e6,7ebbe980-b87e-421f-a11f-788ca2519504,Standard Varsity 90-Min High Intensity,2v2 Flying Scrimmage with Bumpers,4:35 PM - 5:00 PM,25 min,High intensity transition,,{},false,2026-08-06 23:32:55.656692 +00:00
e1a3966f-2ee2-44c3-b241-17632e851dda,7ebbe980-b87e-421f-a11f-788ca2519504,Standard Varsity 90-Min High Intensity,7v7 Tactical Match Play,5:00 PM - 5:25 PM,25 min,Applying press triggers,,{},false,2026-08-06 23:33:09.457745 +00:00
2151c762-28f0-495b-b1f8-033f97af66dd,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,Dynamic Warmup & Rondo (5v2),4:00 PM - 4:15 PM,15 min,Focus on 1-touch speed & communication,,{},false,2026-08-06 23:38:03.302177 +00:00
096b2406-10bb-46bc-99b5-210458eb3cb6,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,Dummy Drill A: High Pressing Counter,4:15 PM - 4:35 PM,20 min,Trigger high press on wide fullback touch.,,{},false,2026-08-06 23:38:03.357134 +00:00
4c9d1dd6-d631-40c2-bfdc-358ec47028fa,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,Dummy Drill B: Overlapping Fullbacks 3v2,4:35 PM - 5:00 PM,25 min,Overlap timing from LB/RB into crossing zone.,,{},false,2026-08-06 23:38:03.410530 +00:00
ad313533-bd6e-445c-a43b-1ddf84dcdb86,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,Dummy Drill C: Quick Wall-Pass Combination,5:00 PM - 5:15 PM,15 min,1-touch wall pass combination in tight central space.,,{},false,2026-08-06 23:38:03.464392 +00:00
79992b54-31dd-4516-b060-6c317423a724,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,7v7 Tactical Match Play,5:15 PM - 5:40 PM,25 min,Applying press triggers in game scenario.,,{},false,2026-08-06 23:38:03.521422 +00:00
a8261561-e54f-4f62-9e99-9572d37cdff4,7ebbe980-b87e-421f-a11f-788ca2519504,dummy_practice_1,Cool Down & Matrix Leaderboard Review,5:40 PM - 5:45 PM,5 min,Announce Competitor of the Day,,{},false,2026-08-06 23:38:03.579458 +00:00
