id,name,description,display_order,active,created_at,is_deleted
5f3fdf47-4f86-4d2c-8f44-000000000001,Competitive Matrix 1v1,Individual attacking and defending competitions,1,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000002,Small-Sided Games,2v2 through 8v8 game-based training,2,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000003,Technical / Ball Mastery,"Dribbling, turns, first touch, juggling",3,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000004,Passing & Possession,"Passing accuracy, rondos, possession play",4,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000005,Shooting & Finishing,Shooting technique and goal scoring,5,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000006,Crossing & Finishing,Wide play and finishing from crosses,6,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000007,Attacking Principles,Creating scoring opportunities,7,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000008,Defending Principles,"Pressure, cover and balance",8,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000009,Transition (Attack to Defense),Immediate defensive transition,9,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000010,Transition (Defense to Attack),Counterattacking and quick transition,10,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000011,Tactical Team Shape,Formation and organization,11,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000012,Set Pieces,"Corners, free kicks, throw-ins and penalties",12,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000013,Goalkeeper Training,Goalkeeper-specific skills,13,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000014,Speed & Agility,Quickness and acceleration,14,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000015,Physical Conditioning,"Fitness, endurance and strength",15,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000016,Warm-Up Activities,Dynamic warm-up exercises,16,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000017,Cool Down & Recovery,Stretching and recovery,17,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000018,Communication & Leadership,Leadership and communication skills,18,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000019,Decision Making,Game awareness and decision making,19,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000020,Possession Under Pressure,Maintaining possession in tight spaces,20,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000021,Pressing & High Press,Coordinated pressing,21,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000022,Build-Up Play,Playing out from the back,22,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000023,Full Scrimmage,Match-like training,23,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000024,Functional Position Training,Position-specific training,24,true,2026-08-07 00:35:23.171691 +00:00,false
5f3fdf47-4f86-4d2c-8f44-000000000025,Team Building & Culture,Developing team chemistry and culture,25,true,2026-08-07 00:35:23.171691 +00:00,false
